program,gender,age,height,weight,prev_salary,expected_salary,preferred_organization,Do you LIVE WITH YOUR PARENTS? ,monthly_expenses,transport_mode,transport_cost,entertainment_cost,cellphone_cost,foot_size,alcoholic_drinks_per_week,sleep_hours,How much time in hours do you spend each week on social netorking sites?,study_hours,work_hours,travel_outside_NA,pay_own_tuition,coffees_per_day,height_m,BMI,coffee_per_week,total_monthly_expense
0,0,27.0,170.0,65.0,4300.0,5300.0,. Small Company,No,1200,2. Public Transport,20,200,60,10,2,7,7,3,40,Yes,No,2.0,1.7,22.49134948096886,14.0,12002020060
0,0,32.0,180.0,54.0,3400.0,4000.0,. Non-profit or Government Agency,No,Too much,3. Drive,60,40,75,6,5,7,1,8,35,Yes,No,1.0,1.8,16.666666666666664,7.0,Too much604075
0,0,23.0,165.0,50.0,1000.0,5000.0,. Other,No,500,1. Walk,20,50,50,5,1,9,20,5,40,Yes,No,1.0,1.65,18.36547291092746,7.0,500205050
0,0,25.0,173.0,66.0,4600.0,6600.0,. Large Corporation,No,1300,3. Drive,70,150,45,8.5,0,8,3,20,40,Yes,Yes,1.0,1.73,22.052190183434128,7.0,13007015045
0,0,30.0,163.0,61.0,2800.0,5000.0,. Large Corporation,No,1000,2. Public Transport,30,200,51,9.5,0,7,8,15,40,Yes,Yes,1.0,1.63,22.95908765854944,7.0,10003020051
15,0,23.0,180.4,86.18,3800.0,4000.0,. Small Company,Yes,$200,3. Drive,$250,$200,$50,132,2,8,2,2,Part-time,No,No,0.0,1.804,26.480941588291113,0.0,$200$250$200$50
2,0,21.0,188.0,100.0,2200.0,4000.0,. Large Corporation,Yes,$800,3. Drive,$150,$200,$80,11,2,8,6,20,20,Yes,No,0.0,1.88,28.293345405160707,0.0,$800$150$200$80
0,0,25.0,166.0,65.0,2400.0,4000.0,. Large Corporation,No,2000,2. Public Transport,30,100,75,9,0,7,7,7,37.5,Yes,Yes,1.0,1.66,23.588329220496444,7.0,20003010075
0,0,29.0,170.0,58.0,3400.0,4000.0,. Large Corporation,No,"3,000",2. Public Transport,50,100,100,10,8,7,8,20,10,Yes,No,2.0,1.7,20.06920415224914,14.0,"3,00050100100"
0,0,30.0,157.0,68.0,1400.0,3000.0,. Large Corporation,No,$400,2. Public Transport,$16,$20,$64,9.6,2,8,2,1,0,Yes,No,2.0,1.57,27.587326057852245,14.0,$400$16$20$64
0,0,37.0,172.72,56.36,4000.0,5000.0,. Large Corporation,No,4000,2. Public Transport,50,20,55,9.25,3,6,3,3,40,Yes,Yes,1.0,1.7272,18.892338822739926,7.0,4000502055
0,0,26.0,162.0,68.0,1200.0,3750.0,. Small Company,Yes,0,3. Drive,50,30,82,9.5,0,6,49,30,20,Yes,No,0.0,1.62,25.910684346898332,0.0,0503082
0,0,25.0,164.0,47.0,0.0,5500.0,. Small Company,Yes,150,2. Public Transport,50,100,35,9.4,0,7,10,5,28,Yes,No,0.0,1.64,17.474717430101133,0.0,1505010035
0,0,26.0,163.0,68.0,4300.0,5000.0,. Non-profit or Government Agency,No,2400,2. Public Transport,30,150,62,9,1,7,4,10,45,Yes,No,0.0,1.63,25.59373706198954,0.0,24003015062
0,0,32.0,168.0,74.0,4000.0,6500.0,. Large Corporation,No,,2. Public Transport,40,350,40,9.5 inches,0,8,2,2,40,Yes,Yes,0.0,1.68,26.218820861678008,0.0,
0,0,27.0,180.0,87.0,4000.0,5000.0,. Large Corporation,No,650,2. Public Transport,50,50,86,11,0,8,10,20,40,Yes,Yes,2.0,1.8,26.85185185185185,14.0,650505086
0,0,29.0,157.0,75.0,4410.0,5940.0,. Large Corporation,No,2355,2. Public Transport,whatever is charged for Upass in tuition,500,50,8.5 shoe size,0,7,1,16 - 20 (I think),35,Yes,No,1.0,1.57,30.427197857925268,7.0,2355whatever is charged for Upass in tuition50050
2,0,25.0,170.0,81.0,1200.0,6000.0,. Large Corporation,No,2000,3. Drive,400,500,15,10,1,5,15,7,26,Yes,Yes,1.0,1.7,28.027681660899656,7.0,200040050015
2,0,28.0,178.0,82.0,2880.0,4000.0,. Small Company,No,1000,2. Public Transport,40,100,36,10,0,7,4,5,20,Yes,Yes,0.0,1.78,25.88057063502083,0.0,10004010036
2,0,26.0,181.0,83.0,2600.0,4000.0,. Large Corporation,No,1500,1. Walk,0,500,55,,10,6.5,7,16,20,Yes,Yes,1.0,1.81,25.33500198406642,7.0,1500050055
2,0,28.0,158.0,49.0,3000.0,6500.0,. Large Corporation,No,3700,2. Public Transport,0,700,45,91,15,9,1,20,15,Yes,No,2.0,1.58,19.62826470116968,14.0,3700070045
0,0,34.0,185.0,81.0,5000.0,6000.0,. Large Corporation,No,1200,3. Drive,50,200,60,11,2,6,5,10,0,Yes,Yes,2.0,1.85,23.66691015339664,14.0,12005020060
